,index,name,uri,wikipedia,abstract,cid,type,related_to,createdAt,abstract_contents,article_contents,category,super_category,relrel_concepts,link_ratio,entropy
10,47,Binary regression,,https://en.wikipedia.org/wiki/Binary regression,"In statistics, specifically regression analysis, a binary regression estimates a relationship between one or more explanatory variables and a single output binary variable. Generally the probability of the two alternatives is modeled, instead of simply outputting a single value, as in linear regression.
Binary regression is usually analyzed as a special case of binomial regression, with a single outcome (
  
    
      
        n
        =
        1
      
    
    {\displaystyle n=1}
  
), and one of the two alternatives considered as ""success"" and coded as 1: the value is the count of successes in 1 trial, either 0 or 1. The most common binary regression models are the logit model (logistic regression) and the probit model (probit regression).",69b034ff4fe79d0745c1eecd_concept_6908008017636342797,related_concept,Logistic regression,2025-05-13 10:28:06.199,['Binary regression'],[],set(),set(),0,1.0481927710843373,0.5167101670888882
11,54,Linear predictor function,,https://en.wikipedia.org/wiki/Linear predictor function,"In statistics and in machine learning, a linear predictor function is a linear function (linear combination) of a set of coefficients and explanatory variables (independent variables), whose value is used to predict the outcome of a dependent variable.  This sort of function usually comes in linear regression, where the coefficients are called regression coefficients. However, they also occur in various types of linear classifiers (e.g. logistic regression, perceptrons, support vector machines, and linear discriminant analysis), as well as in various other models, such as principal component analysis and factor analysis.  In many of these models, the coefficients are referred to as ""weights"".",69b034ff4fe79d0745c1eecd_concept_6954502483776845641,related_concept,Logistic regression,2025-05-13 10:28:06.199,[],[],set(),set(),0,0.6615384615384615,0.8224791448337146
12,56,Ordered logit,,https://en.wikipedia.org/wiki/Ordered logit,"In statistics, the ordered logit model or proportional odds logistic regression is an ordinal regression model—that is, a regression model for ordinal dependent variables—first considered by Peter McCullagh.  For example, if one question on a survey is to be answered by a choice among ""poor"", ""fair"", ""good"", ""very good"" and ""excellent"", and the purpose of the analysis is to see how well that response can be predicted by the responses to other questions, some of which may be quantitative, then ordered logistic regression may be used.  It can be thought of as an extension of the logistic regression model that applies to dichotomous dependent variables, allowing for more than two (ordered) response categories.",69b034ff4fe79d0745c1eecd_concept_2578982504767732971,related_concept,Logistic regression,2025-05-13 10:28:06.199,[],[],set(),set(),0,1.4431818181818181,7.088041646201744e-305
13,57,Generalized linear model,,https://en.wikipedia.org/wiki/Generalized linear model,"In statistics, a generalized linear model (GLM) is a flexible generalization of ordinary linear regression. The GLM generalizes linear regression by allowing the linear model to be related to the response variable via a link function and by allowing the magnitude of the variance of each measurement to be a function of its predicted value.
Generalized linear models were formulated by John Nelder and Robert Wedderburn as a way of unifying various other statistical models, including linear regression, logistic regression and Poisson regression. They proposed an iteratively reweighted least squares method for maximum likelihood estimation (MLE) of the model parameters. MLE remains popular and is the default method on many statistical computing packages. Other approaches, including Bayesian regression and least squares fitting to variance stabilized responses, have been developed.",69b034ff4fe79d0745c1eecd_concept_4734511376019530950,related_concept,Logistic regression,2025-05-13 10:28:06.199,['Generalized linear model'],[],set(),set(),0,1.734475374732334,0.8843098162785765
14,59,Latent variable model,,https://en.wikipedia.org/wiki/Latent variable model,"A latent variable model is a statistical model that relates a set of observable variables (also called manifest variables or indicators) to a set of latent variables. Latent variable models are applied across a wide range of fields such as biology, computer science, and social science. Common use cases for latent variable models include applications in psychometrics (e.g., summarizing responses to a set of survey questions with a factor analysis model positing a smaller number of psychological attributes, such as the trait extraversion, that are presumed to cause the survey question responses), and natural language processing (e.g., a topic model summarizing a corpus of texts with a number of ""topics"").
It is assumed that the responses on the indicators or manifest variables are the result of an individual's position on the latent variable(s), and that the manifest variables have nothing in common after controlling for the latent variable (local independence).
Different types of latent variable models can be grouped according to whether the manifest and latent variables are categorical or continuous:

The Rasch model represents the simplest form of item response theory.  Mixture models are central to latent profile analysis.
In factor analysis and latent trait analysis the latent variables are treated  as continuous normally distributed variables, and in latent profile analysis  and latent class analysis as from a multinomial distribution.  The manifest variables in factor analysis and latent profile analysis  are continuous and in most cases, their conditional distribution given the latent variables  is assumed to be normal. In latent trait analysis and latent class analysis,  the manifest variables are discrete. These variables could be dichotomous, ordinal or nominal variables.  Their conditional distributions are assumed to be binomial or multinomial.",69b034ff4fe79d0745c1eecd_concept_3258486403695933067,related_concept,Logistic regression,2025-05-13 10:28:06.199,['Latent variable model'],[],set(),set(),0,2.5,1.007563862368468
15,60,Multinomial probit,,https://en.wikipedia.org/wiki/Multinomial probit,"In statistics and econometrics, the multinomial probit model is a generalization of the probit model used when there are several possible categories that the dependent variable can fall into. As such, it is an alternative to the multinomial logit model  as one method of multiclass classification. It is not to be confused with the multivariate probit model, which is used to model correlated binary outcomes for more than one independent variable.",69b034ff4fe79d0745c1eecd_concept_3511569550100525425,related_concept,Logistic regression,2025-05-13 10:28:06.199,[],[],set(),set(),0,1.4430379746835442,0.6555573199453605
16,63,Social software engineering,,https://en.wikipedia.org/wiki/Social software engineering,"Social software engineering (SSE) is a branch of software engineering that is concerned with the social aspects of software development and the developed software.
SSE focuses on the socialness of both software engineering and developed software. On the one hand, the consideration of social factors in software engineering activities, processes and CASE tools is deemed to be useful to improve the quality of both development process and produced software. Examples include the role of situational awareness and multi-cultural factors in collaborative software development. On the other hand, the dynamicity of the social contexts in which software could operate (e.g., in a cloud environment) calls for engineering social adaptability as a runtime iterative activity. Examples include approaches which enable software to gather users' quality feedback and use it to adapt autonomously or semi-autonomously.
SSE studies and builds socially-oriented tools to support collaboration and knowledge sharing in software engineering. SSE also investigates the adaptability of software to the dynamic social contexts in which it could operate and the involvement of clients and end-users in shaping software adaptation decisions at runtime. Social context includes norms, culture, roles and responsibilities, stakeholder's goals and interdependencies, end-users perception of the quality and appropriateness of each software behaviour, etc.
The participants of the 1st International Workshop on Social Software Engineering and Applications (SoSEA 2008) proposed the following characterization:

Community-centered: Software is produced and consumed by and/or for a community rather than focusing on individuals
Collaboration/collectiveness: Exploiting the collaborative and collective capacity of human beings
Companionship/relationship: Making explicit the various associations among people
Human/social activities: Software is designed consciously to support human activities and to address social problems
Social inclusion: Software should enable social inclusion enforcing links and trust in communities
Thus, SSE can be defined as ""the application of processes, methods, and tools to enable community-driven creation, management, deployment, and use of software in online environments"".
One of the main observations in the field of SSE is that the concepts, principles, and technologies made for social software applications are applicable to software development itself as software engineering is inherently a social activity. SSE is not limited to specific activities of software development. Accordingly, tools have been proposed supporting different parts of SSE, for instance, social system design or social requirements engineering. 
Consequently vertical market software, such as software development tools, engineering tools, marketing tools or software that helps users in a decision making process can profit from social components. Such vertical social software differentiates strongly in its user-base from traditional social software such as Yammer.


== References ==",69b034ff4fe79d0745c1eecd_concept_3660996975931333359,related_concept,Social computing,2025-05-13 10:28:06.199,"['Social software engineering', 'Social software', 'Software']",[],set(),set(),0,2.4456521739130435,4.326373745111971e-305
17,64,Reputation system,,https://en.wikipedia.org/wiki/Reputation system,"A reputation system is a program or algorithm that allow users of an online community to rate each other in order to build trust through reputation. Some common uses of these systems can be found on E-commerce websites such as eBay, Amazon.com, and Etsy as well as online advice communities such as Stack Exchange. These reputation systems represent a significant trend in ""decision support for Internet mediated service provisions"". With the popularity of online communities for shopping, advice, and exchange of other important information, reputation systems are becoming vitally important to the online experience. The idea of reputation systems is that even if the consumer can't physically try a product or service, or see the person providing information, that they can be confident in the outcome of the exchange through trust built by recommender systems.
Collaborative filtering, used most commonly in recommender systems, are related to reputation systems in that they both collect ratings from members of a community.   The core difference between reputation systems and collaborative filtering is the ways in which they use user feedback. In collaborative filtering, the goal is to find similarities between users in order to recommend products to customers. The role of reputation systems, in contrast, is to gather a collective opinion in order to build trust between users of an online community.",69b034ff4fe79d0745c1eecd_concept_3743483095598128121,related_concept,Social computing,2025-05-13 10:28:06.199,['Collaborative filtering'],[],set(),set(),0,2.7804878048780486,0.4077796945804286
18,65,Human-based computation,,https://en.wikipedia.org/wiki/Human-based computation,"Human-based computation (HBC), human-assisted computation, ubiquitous human computing or distributed thinking (by analogy to distributed computing) is a computer science technique in which a machine performs its function by outsourcing certain steps to humans, usually as microwork. This approach uses differences in abilities and alternative costs between humans and computer agents to achieve symbiotic human–computer interaction. For computationally difficult tasks such as image recognition, human-based computation plays a central role in training Deep Learning-based Artificial Intelligence systems. In this case, human-based computation has been referred to as human-aided artificial intelligence.
In traditional computation, a human employs a computer to solve a problem; a human provides a formalized problem description and an algorithm to a computer, and receives a solution to interpret. Human-based computation frequently reverses the roles; the computer asks a person or a large group of people to solve a problem, then collects, interprets, and integrates their solutions. This turns hybrid networks of humans and computers into ""large scale distributed computing networks"". where code is partially executed in human brains and on silicon based processors.",69b034ff4fe79d0745c1eecd_concept_6723240671039072906,related_concept,Social computing,2025-05-13 10:28:06.199,"['Human-based computation', 'Learning']",[],set(),set(),0,0.6962025316455697,1.0274875360323243
19,66,Social machine,,https://en.wikipedia.org/wiki/Social machine,"A social machine is an environment comprising humans and technology interacting and producing outputs or action which would not be possible without both parties present. It can also be regarded as a machine, in which specific tasks are performed by human participants, whose interaction is mediated by an infrastructure (typically, but not necessarily, digital). The growth of social machines has been greatly enabled by technologies such as the Internet, the smartphone, social media and the World Wide Web, by connecting people in new ways.",69b034ff4fe79d0745c1eecd_concept_2291029730128352781,related_concept,Social computing,2025-05-13 10:28:06.199,[],[],set(),set(),0,0.5098039215686274,4.1847658820621445e-305
20,67,GroupLens Research,,https://en.wikipedia.org/wiki/GroupLens Research,"GroupLens Research is a human–computer interaction research lab in the Department of Computer Science and Engineering at the University of Minnesota, Twin Cities specializing in recommender systems and online communities. GroupLens also works with mobile and ubiquitous technologies, digital libraries, and local geographic information systems.
The GroupLens lab was one of the first to study automated recommender systems with the construction of the ""GroupLens"" recommender, a Usenet article recommendation engine, and MovieLens, a popular movie recommendation site used to study recommendation engines, tagging systems, and user interfaces.  The lab has also gained notability for its members' work studying open content communities such as Cyclopath, a geo-wiki that was used in the Twin Cities to help plan the regional cycling system.",69b034ff4fe79d0745c1eecd_concept_3524282022707823060,related_concept,Social computing,2025-05-13 10:28:06.199,"['GroupLens Research', 'University', 'Research']",[],set(),set(),0,2.5082644628099175,4.3909066556098483e-305
21,68,Folksonomy,,https://en.wikipedia.org/wiki/Folksonomy,"Folksonomy is a classification system in which end users apply public tags to online items, typically to make those items easier for themselves or others to find later. Over time, this can give rise to a classification system based on those tags and how often they are applied or searched for, in contrast to a taxonomic classification designed by the owners of the content and specified when it is published. This practice is also known as collaborative tagging, social classification, social indexing, and social tagging. Folksonomy was originally ""the result of personal free tagging of information [...] for one's own retrieval"", but online sharing and interaction expanded it into collaborative forms. Social tagging is the application of tags in an open online environment where the tags of other users are available to others. Collaborative tagging (also known as group tagging) is tagging performed by a group of users. This type of folksonomy is commonly used in cooperative and collaborative projects such as research, content repositories, and social bookmarking.
The term was coined by Thomas Vander Wal in 2004 as a portmanteau of folk and taxonomy. Folksonomies became popular as part of social software applications such as social bookmarking and photograph annotation that enable users to collectively classify and find information via shared tags. Some websites include tag clouds as a way to visualize tags in a folksonomy.
Folksonomies can be used for K–12 education, business, and higher education. More specifically, folksonomies may be implemented for social bookmarking, teacher resource repositories, e-learning systems, collaborative learning, collaborative research, professional development and teaching. Wikipedia is a prime example of folksonomy.",69b034ff4fe79d0745c1eecd_concept_8217390736144182291,related_concept,Social computing,2025-05-13 10:28:06.199,['Folksonomy'],[],set(),set(),0,1.404332129963899,4.304616520045247e-305
